code,lat,lon
IPSWEPJ,52.073085734054004,1.1126508168014353
NWRKCEJ2,53.08914647828399,-0.8039519193303446
KEYHAM 2,50.39524683032528,-4.175217120408401
BESTNSJ2,52.91951480502204,-1.199030904110012
HMPDNPK2,50.79553041241997,0.26395201499280474
YWAYSJN,51.53533109024549,-0.09283519302335713
GRGMASJ2,58.522010294523135,-3.543275175541728
ARDWCKJ2,53.47499366836646,-2.200512896276571
KGSGJN,55.898146631467775,-3.081205049018844
BNBRDJ,52.04746166452277,-1.317585808549495
BRBM   2,53.46422696762214,-2.0216852694312424
WKFL249,53.68023504635233,-1.497181021620664
NNRYMLJ2,53.389100241734646,-1.448581107589705
MORCMSJ2,54.065300480907865,-2.8248825607693826
WILDJN 2,50.7997974912779,0.26092839615345564
TWDB244,55.60856256515667,-2.769689391543429
BRSTLEJ2,51.45253574385535,-2.5714187110162166
LBRDFJN,52.84678141164707,-2.1361987290417077
CRNFNJN2,54.12899282303561,-2.7809379702064883
EWERSTJ,51.50390326322804,-0.09777109251224785
BRKNHDC2,53.37240165031558,-2.971266756329864
ROCKFRY2,53.35209628556708,-2.9661820917585957
ASHFCWJ,51.17646821757718,0.8068897507260256
BWLDJN,55.652630476330955,-2.834359989908076
PSLT   2,53.33179070493968,-2.961102269184765
ASHBRYS2,53.47316691003346,-2.1698503050696853
CHSTRSJ2,53.19942455367028,-2.8988099848031346
SPITAL 2,53.32308824724444,-2.9589266825939684
BNBRRJN,52.09863959216263,-1.3496631949793374
GLGCBSJ2,55.853110328001726,-4.272676074212942
CANALJ,51.48618444994057,-0.04123769484799605
DNTG   2,53.46204159848134,-1.9859306918572244
BLKBDJN2,53.74764663584012,-2.4506381090762783
PUTNEY 2,51.471140795769536,-0.2133743622196536
GLBKJN,55.70102598207908,-2.8774140545494364
TYNHJN,55.779381287968434,-2.972384852603885
DOCKYDP2,50.3905859798259,-4.166446867017503
PROOFHJ2,52.48178950329709,-1.881237288970775
ESTHRAK2,53.294079769382165,-2.9516811313423714
STAFFSJ,52.79810502780338,-2.113115668165737
FRTWJN 2,56.838166094735435,-5.058261655740753
VAUXHLM2,51.48476787130466,-0.13933236668180285
GIDB   2,53.47041205828212,-2.1238613816854937
EBSFWJN,51.47407472200768,0.2731035085540727
WHRDJN 2,53.792308368858265,-1.5625769108504715
YFIELDJ,52.85019205712977,-2.1372474020390646
LLDELOJ2,51.67293025547193,-4.126574237296504
MLLNJN 2,53.77945255788494,-1.7503725291374017
GORTON 2,53.47144654765017,-2.1410957022712935
HYDEJ  2,53.469489851166294,-2.1085330695960427
LEEDSWJ2,53.7911026101825,-1.5500550330314757
SWANSLE2,51.637301975135124,-3.922583647907617
DORESNJ2,53.329180042752775,-1.5126050534132442
STRTJN 2,53.765616556946256,-1.4795231626856902
STPLNAR2,51.4774830759271,-2.5634957880625104
MRHSNJ 2,55.843203088466126,-4.267307970640684
NASHENX,51.34956195028327,0.475223751449109
EDGHSB 2,53.4008453974062,-2.950721358482202
MINSTEJ2,51.330394943825254,1.3255636538622106
ESJLEDS2,53.783150349546894,-1.5189245418004582
ROLTSTJ,51.48384707395094,-0.03914449539476957
ELYYNJN2,52.41876579167379,0.2371144989756757
IPSWBHJ,52.06423640112156,1.1386951693598213
CLPHMJW2,51.4706668712857,-0.17472297401276154
HAMTSQ 2,53.3811038833204,-2.9734473825537813
WENGTNX,51.5206904741893,0.20125503039009573
BRMB   2,53.305683213206066,-2.9545781704083076
BARNES 2,51.47134735041017,-0.23055301256408872
FUSHBJN,55.83157735796451,-3.035911083252242
NTNGMJN2,52.95184230094712,-1.1635462118653115
GODLY  2,53.466401663009066,-2.0574435193435954
BLKB   2,53.74380213784477,-2.471946751293467
SURRQSJ,51.49085909012203,-0.04542473761403508
TRNHMGN2,51.49144443722775,-0.26073779865365787
METHLYJ2,53.736364894703286,-1.4139273108726351
HAYMRKT2,55.93788624844379,-3.220194740308081
DEVNPRT2,50.38747837989341,-4.160600989317261
ALDRSJN2,51.26276929658289,-0.7357119573532604
GNLN   2,53.3636993775945,-2.969087020950346
SLNYJN 2,53.206249543370134,-2.941083236728211
NINELMJ2,51.47999628092827,-0.14540446117508776
SLDLJN 2,53.44067569888836,-2.195076294740614
STBDXJN2,50.398353697622206,-4.181064914060788
HRTNRDJ2,51.860275424312114,-2.2336459512857147
BARELA 2,54.081125582651495,-2.841462208599737
PRNCSTG2,55.946090844367106,-3.2030578962735397
BEBNGTN2,53.34049312304862,-2.963278743626909
HLBDGJN2,54.9659455197068,-1.6075233515870382
FLWRYFD2,53.468257190719356,-2.0880963576116063
SFLTJN,51.42223893267216,0.355248217084208
ROMSEY 2,50.98913515717638,-1.516621680067939
GTHMNBJ2,52.915832031473556,-0.6642555655982721
NWTH   2,53.467330407361146,-2.07276960349139
BRMBRK 2,53.31438574999064,-2.956751983214844
QTRDBAT2,51.472838307601435,-0.15451022092571817
HLDGWJ 2,53.36741031700533,-2.2538035211394933
HOOTON 2,53.28537714046678,-2.94950938472323
EDGH   2,53.4055733496643,-2.9431114281190585
GAERJ  2,51.57893422891181,-3.003487523746818
HATRSLY2,53.46547095781525,-2.042118106530389
SLIGHTJ,52.838595824803306,-2.1336825859346624
FILTNEW2,51.503180714338875,-2.567468531240977
TRENT  2,52.8947568999388,-1.2491209466705877
WDWTOWN2,51.47087907300975,-0.19190126958566675
JAMESST2,53.395607516660874,-2.9770837409947255
DRDAYSJ2,51.4653709595471,-2.5705558944344853
NCRASJN,55.927762448213336,-3.0859010073889457
MRLDJN,51.50305684696873,-3.1183775297525553
